asset_a,asset_b,n_obs,direction,hedge_ratio,intercept,adf_stat,adf_p,engle_granger_p,adf_q,cointegrated_after_fdr
ENA,OP,4620,log(ENA) ~ log(OP),0.9739938978931946,-0.32948291980410005,-2.6181792443309484,0.08929789367076912,0.22950448877044727,0.22845852902203068,False
SUI,WIF,4620,log(WIF) ~ log(SUI),-0.13456572866820316,-1.8139269021487934,-2.6147687390574057,0.08998312479121023,0.23161935684057183,0.22845852902203068,False
AVAX,WIF,4620,log(WIF) ~ log(AVAX),0.8398429608934999,-3.337418970509866,-2.612974595402219,0.09034522303078851,0.23236479084370987,0.22845852902203068,False
ENA,WIF,4620,log(WIF) ~ log(ENA),0.006459276245308843,-1.748018132057986,-2.611165496929619,0.09071147475874747,0.23311505789006703,0.22845852902203068,False
ARB,CRV,4620,log(CRV) ~ log(ARB),0.19376771367660695,-1.1522456171184443,-2.5995469403923552,0.0930909418050625,0.23400350507435513,0.23018851064524545,False
LDO,XRP,4620,log(LDO) ~ log(XRP),0.6569928471401845,-1.425899994949255,-2.574341124678418,0.0984172393252778,0.24741311334041605,0.23901329550424608,False
OP,WIF,4620,log(WIF) ~ log(OP),-0.5713656007343939,-3.073758063587448,-2.5648427933657882,0.10048340633021008,0.2514849058417623,0.2397498817703258,False
ARB,SOL,4620,log(ARB) ~ log(SOL),0.6715801864446416,-5.470053523377118,-2.523387212199421,0.10988715959380929,0.26651837978774373,0.24268867842731215,False
OP,WLD,4620,log(OP) ~ log(WLD),0.4693089422208718,-1.9063699123427904,-2.5208779655281908,0.11047677420630586,0.26958693850041465,0.24268867842731215,False
ETH,UNI,4620,log(UNI) ~ log(ETH),0.7961764855806868,-4.793388882130863,-2.520351198530088,0.11060085126469082,0.2698902531268487,0.24268867842731215,False
LDO,UNI,4620,log(UNI) ~ log(LDO),0.49324717553244524,1.7586815247319878,-2.51824623143778,0.1110977017520941,0.2705158954827803,0.24268867842731215,False
ARB,WIF,4620,log(WIF) ~ log(ARB),1.5146852011603638,2.163797622543858,-2.5114134204733247,0.1127219560557664,0.2745637777464238,0.24268867842731215,False
WIF,WLD,4620,log(WIF) ~ log(WLD),-0.49219339860875344,-2.1683099930053906,-2.5094540632801774,0.11319096200847772,0.2748913575730862,0.24268867842731215,False
CRV,UNI,4620,log(CRV) ~ log(UNI),0.42744152865532214,-2.112706688262879,-2.5047309954818204,0.11432746194625565,0.27131861631892606,0.24268867842731215,False
BTC,CRV,4620,log(BTC) ~ log(CRV),0.6497822157367921,12.075766595678374,-2.4953034564021106,0.1166212305197557,0.2797639330082813,0.24268867842731215,False
DOGE,SOL,4620,log(DOGE) ~ log(SOL),-0.2503027347269189,-1.5355927123411064,-2.488895492767378,0.1181996027567288,0.28364559048311355,0.24268867842731215,False
AAVE,WIF,4620,log(WIF) ~ log(AAVE),-0.409673183645733,0.0883682537887438,-2.471602815993174,0.12253741959791953,0.2928190498925629,0.24268867842731215,False
AAVE,DOGE,4620,log(DOGE) ~ log(AAVE),0.5494535873915254,-5.092848512848221,-2.4643987109984766,0.12437849592140593,0.2933893784092063,0.24268867842731215,False
OP,XRP,4620,log(XRP) ~ log(OP),0.1607329166890038,0.4175064934094862,-2.4624588380097188,0.12487767701667579,0.2925558539904579,0.24268867842731215,False
AAVE,SOL,4620,log(AAVE) ~ log(SOL),-0.36281467209996165,6.076968845582371,-2.462320656616523,0.12491329036699889,0.295883211239271,0.24268867842731215,False
ENA,LDO,4620,log(LDO) ~ log(ENA),0.17684987094311033,-0.9406132749552185,-2.4459493327155757,0.12918514260445696,0.30240221853673416,0.2474532309043119,False
ADA,WIF,4620,log(WIF) ~ log(ADA),-0.94757829816424,-3.590869783849877,-2.436373133947946,0.13173236640585312,0.30799955714531235,0.2479953779903726,False
ETH,XRP,4620,log(XRP) ~ log(ETH),0.6762035336315255,-4.931755101051767,-2.430577085337137,0.1332915494925732,0.31034516184344885,0.2479953779903726,False
LDO,SUI,4620,log(LDO) ~ log(SUI),0.4942364819050049,-1.212259094498605,-2.42450681487801,0.13493866155358508,0.3134311037395724,0.2479953779903726,False
ENA,XRP,4620,log(XRP) ~ log(ENA),0.15433858034152648,0.4445099061681068,-2.416422383074879,0.1371548574901273,0.3135151724446318,0.2487074749154308,False
AVAX,ETH,4620,log(ETH) ~ log(AVAX),0.3344813459890439,6.739660071581966,-2.407576857087395,0.1396093067937637,0.31578494252608147,0.249827180578314,False
CRV,LDO,4620,log(LDO) ~ log(CRV),0.42527325453136555,-0.6898323161818567,-2.3909211453302355,0.14431526159777025,0.329171241535534,0.25489448801684095,False
DOGE,XRP,4620,log(XRP) ~ log(DOGE),0.2762774556306795,0.7696602424068122,-2.372394258023219,0.1496799743161651,0.33525311950733677,0.2609804680384417,False
WLD,XRP,4620,log(XRP) ~ log(WLD),0.07258532944131538,0.1087538180730431,-2.363257500136373,0.15237630508046912,0.33832412823191615,0.2623187024170101,False
AVAX,WLD,4620,log(AVAX) ~ log(WLD),-0.11677874029837199,1.7770049887638502,-2.3526594788149557,0.15554592170381526,0.3471235577089536,0.26442806689648596,False
ARB,ETH,4620,log(ARB) ~ log(ETH),1.2236648992248167,-11.607124626155525,-2.3410861580374136,0.15905894086796007,0.35170092866993496,0.26706192540793294,False
CRV,DOGE,4620,log(CRV) ~ log(DOGE),0.4591103229868807,-0.45756365147875044,-2.31314960662588,0.16776202806548773,0.356347808931054,0.27823946118178455,False
LDO,SOL,4620,log(LDO) ~ log(SOL),0.5292033009430614,-3.6602720993761686,-2.220342248639746,0.19894540435080543,0.4093291085465174,0.3259828312254161,False
