asset_a,asset_b,dependent,independent,hedge_ratio,adf_p,adf_q,engle_granger_p,phi,phi_p_vs_unit_root_approx,is_mean_reverting,theta_per_bar,half_life_bars,half_life_hours,ou_mu,ou_sigma_eq,current_spread,current_rolling_zscore,current_ou_zscore,half_life_hours_ci_low,half_life_hours_ci_high
BTC,DOGE,BTC,DOGE,0.336624763457381,0.1148762665676718,0.19528965316504207,0.27711327705054567,0.9968370190336314,0.014798801617988078,True,0.0031679937637112744,218.79688921733546,4.5582685253611555,-0.0005268239197739697,0.0055028218904254215,-0.013849012808075045,-1.0715457744667756,-2.4209740299755804,,
ETH,SUI,ETH,SUI,0.427854139555073,0.11935238332709597,0.20039412509240806,0.28587452158631566,0.9972586814484214,0.01420343479171371,True,0.0027450828462736135,252.50501328252318,5.260521110052566,-0.0003301830291489665,0.006807855258017371,-0.007287357517105519,0.4206927093447582,-1.021933373181419,,
AVAX,WLD,AVAX,WLD,-0.11271223306778122,0.12443521234829313,0.20520005602423175,0.29497075640662296,0.9974240868726238,0.015371413277060153,True,0.0025792364999688826,268.7412265483634,5.598775553090904,-0.0005591290232372596,0.017954041710426964,-0.002857262575369557,1.6639553965773313,-0.128000903038876,,
ARB,DOGE,ARB,DOGE,-0.05861068304810939,0.1292342725742262,0.20520005602423175,0.30336161569815345,0.99717321995508,0.01157595217268792,True,0.002830782932933477,244.86059050866623,5.10126230226388,0.0007696309698859792,0.014909373447457535,0.007944238740805964,2.5079831036513793,0.4812145725777267,,
AAVE,UNI,AAVE,UNI,1.142056201827046,0.1300144590689074,0.20520005602423175,0.3047294252518075,0.9973184553380372,0.013151686613199987,True,0.0026851464431822264,258.14129516842337,5.3779436493421535,-0.0014960256174537487,0.02054553276273952,-0.007367966974973328,0.807609873758331,-0.2858013673983999,,
ADA,ARB,ADA,ARB,0.3031454150846406,0.13134668665112398,0.20520005602423175,0.30740594966151413,0.9974393501968714,0.008309340480783467,True,0.0025639338742711303,270.34518616709323,5.632191378481109,-0.0021268315429146065,0.009758265908745734,-0.0037409619431829633,1.7013178822464812,-0.16541160236489466,,
OP,UNI,UNI,OP,0.5659663279878772,0.13195135019902499,0.20520005602423175,0.30800239045222766,0.9968335585476122,0.00996525133696502,True,0.0031714652359375256,218.55739508210064,4.55327906421043,-0.0018971292680684012,0.01115249777031095,-0.018910942607518022,0.66983493349161,-1.525560792734886,,
ADA,ENA,ADA,ENA,0.23230310238077562,0.1321355735406879,0.20520005602423175,0.3082974493018498,0.9969265943329048,0.01122166056811813,True,0.003078138277601409,225.1838995030689,4.691331239647268,0.0004744869528036588,0.009585073232039328,0.019055149451047804,2.3250963780654392,1.9384997953000416,,
AAVE,WIF,WIF,AAVE,-0.4628299256623703,0.13325677787423912,0.20520005602423175,0.3107035048061835,0.9978181114884881,0.014093126563690106,True,0.0021842722983194743,317.335517688539,6.61115661851123,0.0046077755732108665,0.037271976546392735,-0.0412348122577475,1.2792386284074875,-1.2299478610665502,,
CRV,SUI,CRV,SUI,0.49611586190488394,0.13428533078056343,0.20520005602423175,0.311313866959867,0.9965958868359417,0.008144392749450002,True,0.0034099203398762603,203.27371653060328,4.234869094387569,-0.0014414515898717238,0.008283495158129185,-0.01582442802698303,0.2307826009589375,-1.736341503501244,,
