asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
AAVE,SOL,4620,0.48374107426301766,1.1531717875852394e-269,1.6003200317509444e-269,True,positive,-0.3638999944326646,0.12919719138788266,0.23427757371669386,True,5.429233244525757,,,3.09744831237041,-0.44476360134068416
LDO,OP,4620,0.6110765990625604,0.0,0.0,True,positive,0.0846403378111955,0.1527093697807374,0.27326939855500376,True,3.271519036146547,,,3.3852678128807083,2.996526737215765
CRV,UNI,4620,0.5475425196800051,0.0,0.0,True,positive,0.4287309817172781,0.15737358488195952,0.2752204094184752,True,1.2845733826420227,,,0.9403450420175401,3.3629844196966974
ETH,UNI,4620,0.8169303248802582,0.0,0.0,True,positive,0.8019279609246944,0.16149932857313376,0.2752204094184752,True,2.8328095196483942,,,3.1661330730394046,1.763243504900792
ENA,UNI,4620,0.22557010741758912,2.224181780145293e-54,2.2406572007389617e-54,True,positive,0.5265715052952902,0.16179333351288872,0.2752204094184752,True,0.6896111553299608,,,3.1608543839751606,7.760202829921953
ARB,ETH,4620,0.6451142208907554,0.0,0.0,True,positive,1.214151754085985,0.161894358481456,0.2752204094184752,True,4.266000548211658,,,-3.69481759388566,-3.6130237600589257
AAVE,UNI,4620,0.4805495741513203,1.217814833714676e-265,1.6729577513656156e-265,True,positive,0.44732837910699164,0.16477662454040737,0.2766619868826593,True,2.585696791840294,,,3.4445003354982924,5.250343179135586
AVAX,WLD,4620,0.46565607752997384,2.0311450058573932e-247,2.6561126999673605e-247,True,positive,-0.11708061844803408,0.1683660721657272,0.2792412904212061,True,5.295014277824861,,,3.012978201705079,1.4433089317717482
AVAX,SOL,4620,0.6744891756058264,0.0,0.0,True,positive,0.7403539720690939,0.17750943341518638,0.28842980460174567,True,6.8150178763637745,,,-2.9281198832065907,-2.5023598333324726
CRV,DOGE,4620,0.6956920761108953,0.0,0.0,True,positive,0.45918961648420165,0.1781478204893135,0.28842980460174567,True,17.439143525828182,,,2.8993091612876016,1.9576590159034604
ADA,XRP,4620,0.7716429020627382,0.0,0.0,True,positive,0.4647018164592428,0.18223898088484375,0.29158236941575,True,2.666595241014463,,,-1.562452478800828,-2.9964102455625263
CRV,LDO,4620,0.6983045625313753,0.0,0.0,True,positive,0.426969152324186,0.18667589528345563,0.2944122305827126,True,3.4496479152282835,,,2.991477793157042,1.1870743665029992
