asset_a,asset_b,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,pearson_q,significant_after_fdr,pearson_r_ci_low,pearson_r_ci_high,direction
AVAX,ENA,4620,0.42398566845762076,5.331480714993058e-201,0.5539803021760441,0.0,6.1972767285389384e-201,True,0.4000398753574027,0.4473529920603003,positive
SUI,WLD,4620,0.4044417112664134,2.2314614541801576e-181,0.588261200085117,0.0,2.57185387939408e-181,True,0.38003717330969894,0.42828356017366953,positive
ENA,SOL,4620,0.40401396931034794,5.801650678659017e-181,0.5771611674750032,0.0,6.630457918467447e-181,True,0.3795996462952753,0.42786596615292527,positive
ADA,WIF,4620,0.40165765543233267,1.0928575300292625e-178,0.5039051432255811,4.246396552756235e-296,1.2385718673664976e-178,True,0.37718962496502706,0.4255653719151167,positive
ADA,WLD,4620,0.39858428733054685,9.512586793977858e-176,0.5678645479851283,0.0,1.0691833090751972e-175,True,0.3740467035005341,0.4225642151058342,positive
BTC,ENA,4620,0.3931707307194809,1.2056342781626705e-170,0.5568513739546878,0.0,1.3439857527059278e-170,True,0.36851200315804966,0.4172765751672814,positive
OP,WLD,4620,0.3887545688453107,1.4915889957444704e-166,0.46629120059516344,3.5397818520965082e-248,1.649236613180878e-166,True,0.3639983114165041,0.41296192192741665,positive
AAVE,OP,4620,0.3834255204940678,1.0690330529491628e-161,0.3352276271400735,1.0062149888471962e-121,1.1724878645248884e-161,True,0.3585531200826523,0.40775391840665554,positive
AAVE,CRV,4620,0.3767444543904036,9.762754072926702e-156,0.3818544149322752,2.775002639542964e-160,1.0621876431344252e-155,True,0.3517288349661307,0.401222370056365,positive
ENA,XRP,4620,0.373148842091559,1.37998970311425e-152,0.58750719395754,0.0,1.4895126954249047e-152,True,0.34805724537108246,0.3977061945230031,positive
DOGE,ENA,4620,0.366507146813218,7.153661804782663e-147,0.6289334382350827,0.0,7.660614216145213e-147,True,0.34127723088480233,0.3912093348563113,positive
ENA,ETH,4620,0.3355716287858191,5.514649806320173e-122,0.5949135135597499,0.0,5.859315419215184e-122,True,0.309732007681182,0.36091595173220087,positive
AAVE,WIF,4620,0.31621782950440624,8.35251970350001e-108,0.308439897321966,2.144925331214192e-102,8.805757206790708e-108,True,0.2900256493468683,0.34193664758379194,positive
CRV,WLD,4620,0.30906648420800475,7.973527026049196e-103,0.5248964471861254,0.0,8.341535965713005e-103,True,0.28274964692830207,0.33491836765908883,positive
ENA,LDO,4620,0.2946055535868878,3.5846348631143e-93,0.5824381124805468,0.0,3.721452987660647e-93,True,0.2680458918862713,0.3207177418801492,positive
UNI,WIF,4620,0.2837308952694725,2.8389383562740976e-86,0.45456002390876354,2.0316748251298656e-234,2.9249667913127067e-86,True,0.25699677401902404,0.3100310948203287,positive
ENA,WIF,4620,0.27794781672585867,9.96023362382453e-83,0.4492299261448446,2.417484100258115e-228,1.0184900547670197e-82,True,0.25112376423667543,0.3043452913385922,positive
AAVE,ENA,4620,0.22761287170423694,2.315889335742297e-55,0.39509552704384826,1.8958521311967896e-172,2.3504548482160627e-55,True,0.2000893414094734,0.25477744911772604,positive
ENA,UNI,4620,0.22557010741758912,2.224181780145293e-54,0.5693642075397971,0.0,2.2406572007389617e-54,True,0.19802133868556634,0.2527627977377858,positive
ENA,WLD,4620,0.1312600102380987,3.3006024890572843e-19,0.5561193620227188,0.0,3.3006024890572843e-19,True,0.10281232360018888,0.15949315288330723,positive
